pgpid,type,tags,description
807,Legal document,polygyny,"Court record in the hand of R. Daniel b. Azarya ha-Nasi. Hayyim b. Harun announces his intention to marry a woman in Sahrajt, but people say that he already has a wife in Fustat. The man vows 10 dinars to the waqf if he is indeed married. People check and discover that he is in fact married; he then says he had vowed 5 dinars to the Jeruslaem waqf and 5 dinars to the local synagogue, but people object. The court believes him, but then he argues that he doesn't have the money, so the court allows him to pay only a quarter of a dinar per month."
808,Letter,communal,Letter (fragment) from Shelomo b. Yehuda to Yaʿaqov ha-Ḥaver b. Yosef. Apparently end of 1025 or beginning of 1026.
809,Legal document,,"Legal deed in the hand of Eliyyahu ha-Kohen b. Shelomo Gaʾon; he also signed the validation. Location: Damascus. Dated: 10 Iyyar 4791 AM = 5 May 1031 CE. Eliyyahu at this time held the title of ḥaver. For a survey of documents concerning him and his titles over the years, see M. A. Friedman, Jewish Marriage in Palestine, Vol. II, p. 151 note 20."
810,Legal document,power of attorney,Power of attorney written and signed by Avraham b. Shelomo Gaʾon. Also signed by Ḥalfon b. ʿAmram. Location: Ramla. Dated: Ḥeshvan 4800 AM = October/November 1039 CE. Riḍā bt. Binyamin appoints Palṭiel b. Yefet as her agent for suing her husband Ṣedaqa to obtain a bill of divorce for her.
811,Legal document,"divorce, remarriage","Legal document. Location: Fustat. Dated: Friday, 26 Kislev 1401 Seleucid = 2 December 1089 CE. A divorced man, David b. Mevorakh Ibn [...], now remarrying another woman, undertakes to provide for his divorcee Sitt al-Bayt bt. Yosef (the mother of his son Abū l-ʿAlāʾ) 1/3 dinar per month (= 4 dinars per year) for a period of 4 years. If she should decide to remarry him, the promise is void. The payment will be made through her son."
812,Letter,"illness letter 969-1517, Tiberias, Tiberias lepers, Illness",Letter from the lepers of Tiberias. Fragment. Written by Hillel b. Yoshua. (Gil)
813,Letter,"Nahray B. Nissim, trade, nar","Letter from Barhūn b. Mūsā al-Tahirtī, in Trapani, Sicily (Gil prefers to read אטראבנש in line 2 over Goitein's and Ben-Sasson's אטראבלש), to Nahray b. Nissim, in Fustat. In Judaeo-Arabic. Dating: Ca. 1053 CE. The top line of the recto is partially torn away, as is the writing on more than three quarters of the text of the top margin. The writer spent the winter and the summer in Tripoli (Libya) and and in Sicily. Some of the family members are in the Maghrib, and they are caught up in a mess of an unclear nature. Mentions the textile trade with Sicily; the procurement of flax in Egypt; and other business matters."
814,State document,"tax, DIMME, Petition, State, caliph","Response to a letter of complaint concerning taxation of the Jews of Tiberias. The letter refers to a sijill mukarram (noble decree) of the caliph in response to a petition from Sibāʿ b. Faraj the Jew in which he explained that in the past, some have paid a capitation tax (jizya) of 5 dirhams in regular installments (bi-rasm thābit), some have paid 10, and some have been exempt as Khaybarī Jews. The Jews of Tiberias have the receipts (baraʾāt) to prove this. But now someone mentioned in the missing upper portion of the petition, presumably a tax-collector or other local official, as shown ""greed toward us"" and ""strengthened his hand in oppressing us and demanding of us extreme humiliation (or rather: seeking our harm [adhāʾ]) in overcharging jizya payments."" Sibāʿ b. Faraj may be Hillel b. Yeshuʿa (Gil). This document is the middle part of three sheets that were attached. Dating: ca. 1030 CE (Gil), or at least ca. 1020–50, since it was reused by Efrayim b. Shemarya. (Information from Gil, Palestine, vol. 2 p. 453–54, #249, and from Marina Rustow)"
815,Legal document,polygyny,"Reuse: Several legal documents, either drafts or court records. In Judaeo-Arabic. The entries on recto are very faded. The one that begins at the bottom of recto contains a statement by Yosef b. Shelomo that he will not take a second wife (or else he will be punished). Location: Probably Fustat. Dated: 1390 Seleucid, which is 1078/79 CE. The second entry on verso concerns various deposits or pledges. Mentions the wife of Sulaymān, a judge (al-shofeṭ), the house or wife of Abū l-Surūr. Also mentions a mill (ṭāḥūna) and maybe someone named Shāhīn. The bottom entry on verso is a detailed list of the items pertaining to the Dār al-Ṣarf that were sold in the presence of the court (Yefet b. Zarʿa(?), Meshullam b. Moshe, and Avraham b. [...])."
816,Letter,communal,"Letter from the leaders of the community (qahal) of Jerusalem to Avraham b. Yiṣḥaq b. Furāt, Cairo, approximately 1055."
817,Letter,,"Letter from Elazar Ha-Kohen Ha-Mumhe and Ha-Shofet b. Zakariyya the Gazan, to Eli Ha-Kohen b. Hayyim, Fustat, probably the beginning of the twelfth century."
818,Letter,Ibn,"Letter from Ibrāhīm b. Farrāḥ, Alexandria, 25 August 1056 (Gil). Mentions that Ibn al-Baʿbāʿ (here called Muḥammad b. ʿAbd al-Raḥmān al-Ṣāʾigh) has unloaded his goods in Mazāra."
819,Letter,communal,Letter from Shelomo b. Semah of Ramla to Efrayim b. Shemarya written in his own hand. (Gil) Ca. 1030.
820,Letter,communal,"Letter of Eliyyahu ha-Kohen Gaon b. Shelomo, probably from Tyre. Ca. 1080"
821,Letter,communal,Letter from the office of the Palestinian Gaon Daniel b. ʿAzarya (r. 1051–62) to an unidentified addressee in Fustat. In Judaeo-Arabic. Dating: ca. 1055 (unclear on what basis). The letter is about a communal conflict (ikhtilāl al-umūr) in Fustat and the leader ʿEli b. ʿAmram's abnegation of his duty to try to resolve it. Daniel expresses his agitation and says that he has issued instructions to the 'ḥaver' for how it should be resolved.
822,Letter,communal,"Letter, fragmentary, from Daniel b. Azarya. Dating: ca. 1050 CE. Maybe a part of the same letter in ENA NS 45.31 + T-S 20.90. (Information from Gil, Palestine, vol. 2, pp. 639-640, #350) VMR"
823,Letter,"communal, DIMME, government services, water","Letter, fragmentary, from Eli Ha-Kohen b. Ezekiel, Jerusalem, to Eli Ha-Ḥaver b. Amram in Fustat written in his own hand. Eli Ha-Kohen expresses his anxiety over water ""wa-qalbī mashghūl bi l- mā"". (Gil) Middle of 11th century."
824,Legal document,Tiberias,"Court verdict, probably from Tyre, concerning the inheritance of a woman buried in Tiberias,  dated approximately 1015."
825,Letter,trade,"Business letter from Daniel b. Azarya, in his handwriting, sent from Tyre to Fustat. The letter contains details about the commercial activities of Daniel b. Azarya in Tyre, and was probably written to Avraham ha-Kohen b. Yis'haq b. Furat, Fustat. On the back are lines in Arabic script and then Judaeo-Arabic in very large spacing. (Gil, Palestine, vol. 2, pp.634–35, doc. 347.)"
826,Legal document,testimony,"Legal document draft leaving the date blank, written by Avraham b. Yiṣḥaq ha-Talmid. On verso part of a rough draft record of testimony by Avraham b. Yiṣḥaq Ha-Talmid. Contains the trustee stipulation for a woman, and the end of the stipulation regarding the wife's earnings. The husband is taking upon himslef not to marry another wife, nor to act violently against his wife. Written by Avraham b. Aharon ha-mumhe."
827,Letter,"Nahray B. Nissim, trade",Letter from Yusha` b. Natan to Nahray b. Nissim.
828,Letter,"communal, captives, crusade","Circular on behalf of a notable from 'Arqa, northern Syria, whose wife and child were held in captivity. On verso blessings on food."
829,Letter,"Nahray B. Nissim, trade",Letter from Nahray b. Natan to Nahray b. Nissim ca. 1055
830,Letter,"Nahray B. Nissim, trade","Letter from Akhlābū Kohen b. Aharon, in Alexandria, to Nahray b. Nissim, Fustat. Around 1045. In the handwriting of Ibrāhīm b. Faraḥ. Regarding one dinar and a quarter that Abu Zikrī needs to get from Abū Yūsuf Yaʿqūb, after he sent it to him by Abu Naṣr, who passed away meanwhile. Mentions many people and sends his greetings to them. (Information from Gil, Kingdom, Vol. 4, #764) VMR"
831,Legal document,"ketubba, Marriage","Ketubba, once monumental, now just a piece of it. What remains are two perpendicular lines on the right hand side of the text containing blessings. Ed. Friedman, JMP, #64 who dates the ketubba to 1089-1099 and locates it in Tyre."
832,Letter,,Letter from Daniel b. ʿAzarya possibly to Yoshiyyahu b. ʿAzarayahu ha-Kohen. In Judaeo-Arabic. Dating: ca. 1055 CE (per Gil). Verso is covered with Arabic-script jottings of many kinds (mainly drafts of legal and epistolary formulae). May also join with ENA NS 2.33.
833,Letter,,"Letter from Daniel b. Azarya to Avraham Ha-Kohen b. Yiṣḥaq b. Furat, Fustat."
834,Letter,communal,"Lower, small fragment: Letter from Natan b. Mevorakh ha-Kohen (aka Wahb b. Barakāt). Small fragment (upper right corner of recto). Concerning the leadership of the community in Ashkelon in the time of David b. Daniel, the head of the Jews in Egypt. Describes an attempt to close the synagogue, probably with the help of the Muslim leadership, in order to prevent the Ashkelonian group, with their leader Avraham ha-Hazan, from praying there. Following the closer of the synagogue, the Ashkelonian group asked David b. Daniel to help them and send them a new leader. (Information from M. Cohen, Shalem, 3, pp.105–07.) VMR"
835,Legal document,betrothal,"Betrothal register from a court book, 1023 (per Friedman, based on comparison to ENA 4010.28 which he identifies as another leaf from the same register, and bears an exact date in 1023).

From the same ledger: ENA 4010.28, ENA NS 8.15, and Bodl. MS heb. c 13/21 (bears an exact date in 1028)."
836,Letter,communal,"Letter in the name of the yeshiva, probably by Eliyyahu ha-Kohen b. Shelomo Gaon, to the communities of Egypt, probably October 1057. Gil's edition is based on Harkavy's edition in Oṣar Ṭov, 1876–78, pp. 77–81 (hence the headings below)."
837,Legal document,"de Curiel, contract, b. Sid, joseph caro, friendship","Contract of friendship between Elʿazar Maymūn and Yom Ṭov b. Sīd. In Hebrew and Aramaic. Dated: Sunday, 17 Tevet 5324 AM, which is January 1564 CE. As Mann describes, Yevr. II A 236/5 contains 10 (or more) leaves of various notes on Biblical and Rabbinic matters. On fol. 2, upside down relative to the main text, this document is to be found. The parties vow to treat each other as brothers, to help each other in all things, loan each other books, and pray together in the synagogue of Shemuel b. Sīd. (Mann: The synagogue of the Sevillians in Cairo was called by his name. Cp. about this scholar and Kabbalist, a refugee to Egypt after the Spanish expulsion, Sambari's Chronicle (in Neub., Med. Jew. Chron. I, pp. 145, 159, and 151–62)). If one is angry at the other, they will seek to appease each other within 24 hours. The document invokes three of the sages of Safed—Joseph Caro, Moses. b. Joseph di Trani, and Israel de Curiel—and Me'ir de Padova (=Meir b. Isaac Katzenellenbogen (d. 1565)) and Yiẓḥāq b. Sīd (perhaps the son of Shemuel b. Sīd and perhaps the father of the signatory Yom Ṭov b. Sīd; see Mann's notes for these identifications). ASE."
838,Letter,communal,"Letter from Shelomo b. Yehuda to Yaʿaqov Ha-Meʿuttad b. Yosef. Dating: probably end of 1015. The content emphasizes the need of communal leaders and includes biblical citations from Ezra 7.28, Ezekiel 10.11, and Proverbs 16.20."
839,Letter,"Nahray B. Nissim, trade","Letter from Mardūk b. Mūsā, in Alexandria, to Nahray b. Nissim, in Fustat. In Judaeo-Arabic. Dating: January 26, 1048, based on Gil's assessment. The writer confirms receipt of two letters from Nahray and gives directions on business matters, including that when a certain Abu ‘Amr arrives, Nahray should take 16 dinars from him. The writer also requests that Nahray purchase two books with high-quality paper for him, remarking that he has already written to Ḥalfon to buy a cloak (kisā'). Well wishes are sent to Abū Isḥāq Barhūn and Abū ʿAlī Ḥassūn. Information from Gil. EMS."
840,Legal document,"communal, Natan b. Avraham, schism","Settlement between Shelomo b. Yehuda and Natan b. Avraham, ending the four-year schism of the geonut. Drawn up in Jerusalem. In the hand of Ẓadoq ha-Levi b. Levi. Dating: Late 1042 or early 1043 CE (Goitein and Rustow); or October 8, 1042 CE (Gil). By the terms of the agreement, Natan was deposed and demoted to Av Bet Din, and Shelomo b. Yehuda was reinstated in office. ""The terms lean in Shelomo's favor, except for one item: the creation of a board of five overseers to regulate the affairs of the yeshiva, including the Gaon (Shelomo) and the Av Bet Din (Natan)."" Information from Rustow, Heresy, p. 321, and from Gil."
